,country_code,party_id,id,publish,address,city,country,postal_code,parking_type,time_zone,mobie_voltage_level,last_updated,latitude,longitude,evse.evse_id,evse.uid,evse.status,evse.last_updated,connector.id,connector.standard,connector.format,connector.power_type,connector.max_voltage,connector.max_amperage,connector.max_electric_power
39,PT,EDP,AGD-90001,True,Rua Joaquim Francisco de Oliveira,Águeda,PRT,3750-144,ON_STREET,Europe/Lisbon,BTN,2021-05-08T00:05:03Z,40.577273,-8.444696,PT*EDP*AGD*90001*02,AGD-90001-02,AVAILABLE,2021-05-07T19:35:47Z,AGD-90001-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
40,PT,GLG,AGH-00001,True,"Rua de São Pedro, Circular Externa",Angra do Heroísmo,PRT,9700-187,ALONG_MOTORWAY,Atlantic/Azores,BTE,2021-05-08T00:04:19Z,38.660919,-27.233239,PT*GLG*AGH*00001*03,AGH-00001-03,AVAILABLE,2021-05-07T19:29:54Z,AGH-00001-03-01,IEC_62196_T2,CABLE,AC_3_PHASE,400,63,43000
41,PT,KLC,AGN-00002,True,Rua Comendador Saúl Brandão,Arganil,PRT,3300-060,PARKING_LOT,Europe/Lisbon,BTE,2021-05-08T00:04:08Z,40.223806,-8.057222,PT*KLC*AGN*00002*03,AGN-00002-03,AVAILABLE,2021-05-07T04:24:58Z,AGN-00002-03-01,IEC_62196_T2,CABLE,AC_3_PHASE,400,63,43000
42,PT,HRZ,AGN-90001,True,Avenida Irmãos Duarte,Arganil,PRT,-,ON_STREET,Europe/Lisbon,BTN,2021-05-08T00:04:44Z,40.2180573,-8.05506,PT*HRZ*AGN*90001*02,AGN-90001-02,OUTOFORDER,2021-05-07T23:56:40Z,AGN-90001-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
43,PT,GLG,AJT-00001,True,A2 km 148 (Sentido Sul/Norte),Aljustrel,PRT,7600-000,ALONG_MOTORWAY,Europe/Lisbon,BTE,2021-05-08T00:03:22Z,37.922961,-8.241516,PT*GLG*AJT*00001*03,AJT-00001-03,AVAILABLE,2021-05-07T23:34:59Z,AJT-00001-03-01,IEC_62196_T2,CABLE,AC_3_PHASE,400,63,43000
44,PT,GLG,AJT-00002,True,A2 km 148 (Sentido Norte/Sul),Aljustrel,PRT,7600-000,ALONG_MOTORWAY,Europe/Lisbon,BTE,2021-05-08T00:05:10Z,37.924281,-8.243845,PT*GLG*AJT*00002*03,AJT-00002-03,AVAILABLE,2021-05-07T23:20:34Z,AJT-00002-03-01,IEC_62196_T2,CABLE,AC_3_PHASE,400,63,43000
45,PT,MOB,AJT-00003,True,Av. Da Liberdade,Aljustrel,PRT,7600-014,PARKING_LOT,Europe/Lisbon,BTN,2021-05-08T00:03:47Z,37.879386,-8.163674,PT*MOB*AJT*00003*02,AJT-00003-02,AVAILABLE,2021-05-06T12:25:25Z,AJT-00003-02-01,IEC_62196_T2,SOCKET,AC_1_PHASE,230,16,3700
46,PT,HRZ,AJT-90004,True,Rua Catarina Eufémia,Aljustrel,PRT,7600-099,ON_STREET,Europe/Lisbon,BTN,2021-05-08T00:04:55Z,37.878148,-8.163778,PT*HRZ*AJT*90004*2,AJT-90004-2,AVAILABLE,2021-05-07T01:17:01Z,AJT-90004-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
47,PT,MOB,AJZ-00001,True,Parque Ribeirinho Junto à Pérgola,Aljezur,PRT,8670-320,ON_STREET,Europe/Lisbon,BTN,2021-05-08T00:04:57Z,37.434628,-8.7687082,PT*MOB*AJZ*00001*02,AJZ-00001-02,AVAILABLE,2021-05-07T11:25:18Z,AJZ-00001-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
48,PT,KLC,ALB-00001,True,Aveinda 5 de Outubro 9000,Albergaria-a-Velha,PRT,3850-005,PARKING_LOT,Europe/Lisbon,BTN,2021-05-08T00:04:50Z,40.6908221,-8.4788345,PT*KLC*ALB*00001*2,ALB-00001-2,AVAILABLE,2021-05-07T19:14:34Z,ALB-00001-2-1,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
