ChargingStation,Unit,Value,MinLevelValue,MaxLevelValue
BJA-00006,min,0.035,0,NA
BJA-00007,min,0,0,NA
BJA-00008,min,0,0,NA
BJA-00009,min,0.035,0,NA
BJA-90001,min,0.006,0,NA
BJA-90002,min,0.006,0,NA
BJA-90004,min,0.009,0,NA
BJA-90005,min,0.005,0,NA
BNV-00002,min,0.03,0,NA
BNV-00003,min,0.03,0,NA
BNV-90001,min,0.02,0,NA
BRB-90001,min,0.031,0,NA
BRC-90001,min,0.0025,0,NA
BRG-00004,min,0.08,0,NA
BRG-00006,min,0,0,NA
BRG-00010,min,0,0,NA
BRG-00015,min,0.086,0,NA
BRG-00016,min,0.025,0,NA
BRG-00017,min,0.025,0,NA
BRG-00020,min,0.05,0,NA
BRG-00021,min,0.05,0,NA
BRG-00022,min,0.03,0,NA
BRG-00023,min,0.1,0,NA
BRG-00024,min,0.035,0,NA
BRG-00031,charge,0.1,0,NA
BRG-00031,min,0.025,0,NA
BRG-00032,min,0.05,0,NA
BRG-00033,min,0.05,0,NA
BRG-00034,min,0.05,0,NA
BRG-00036,min,0,0,NA
BRG-00037,min,0,0,NA
BRG-00038,min,0.03,0,NA
BRG-00039,min,0.03,0,NA
BRG-00040,min,0.035,0,NA
BRG-00041,min,0.035,0,NA
BRG-00042,min,0.035,0,NA
BRG-90001,kWh,0.1,0,NA
BRG-90002,min,0.0046,0,NA
BRG-90003,min,0.005,0,NA
BRG-90005,min,0.009,0,NA
BRG-90007,min,0.009,0,NA
BRG-90008,min,0.0046,0,NA
BRG-90009,min,0.0046,0,NA
BRG-90011,min,0.005,0,NA
BRG-90012,min,0.009,0,NA
BRG-90013,min,0.0046,0,NA
BRG-90014,min,0.006,0,NA
BRR-00003,min,0.102,0,30
BRR-00003,min,0.163,30,NA
BRR-00004,charge,0.1,0,NA
BRR-00004,min,0.025,0,NA
BRR-00005,charge,0.1,0,NA
BRR-00005,min,0.025,0,NA
BRR-00006,min,0.08,0,NA
