,country_code,party_id,id,publish,address,city,country,postal_code,parking_type,time_zone,mobie_voltage_level,last_updated,latitude,longitude,evse.evse_id,evse.uid,evse.status,evse.last_updated,connector.id,connector.standard,connector.format,connector.power_type,connector.max_voltage,connector.max_amperage,connector.max_electric_power
436,PT,HRZ,FCR-90001,True,Av. 25 Abril,Figueira Castelo Rodrigo,PRT,6440-909,ON_STREET,Europe/Lisbon,BTN,2021-05-11T14:15:05Z,40.894806,-6.962931,PT*HRZ*FCR*90001*2,FCR-90001-2,AVAILABLE,2021-05-11T03:42:17Z,FCR-90001-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
437,PT,GLP,FEC-90001,True,Av. Guerra Junqueiro,Freixo de Espada À Cinta,PRT,5180-104,ON_STREET,Europe/Lisbon,BTN,2021-05-11T14:13:38Z,41.087827,-6.808961,PT*GLP*FEC*90001*2,FEC-90001-2,AVAILABLE,2021-05-11T05:35:14Z,FEC-90001-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
438,PT,GLP,FEUP-00001,True,FEUP - Rua Roberto Frias,Porto,PRT,4200-465,PARKING_LOT,Europe/Lisbon,MT,2021-05-11T14:15:05Z,41.177954,-8.5986249,PT*GLP*FEUP*00001*03,FEUP-00001-03,CHARGING,2021-05-11T13:37:34Z,FEUP-00001-03-01,IEC_62196_T2,CABLE,AC_3_PHASE,400,63,43000
439,PT,GLP,FEUP-00002,True,FEUP - Rua Roberto Frias,Porto,PRT,4200-465,ALONG_MOTORWAY,Europe/Lisbon,MT,2021-05-07T07:32:37Z,41.178538,-8.594961,PT*GLP*FEUP*00002*03,FEUP-00002-03,UNKNOWN,2021-05-07T06:18:02Z,FEUP-00002-03-01,IEC_62196_T2,CABLE,AC_3_PHASE,400,63,43000
440,PT,EVP,FIG-00002,True,"Paços do Concelho, Avenida Saraiva de Carvalho",Figueira da Foz,PRT,3084-501,ON_STREET,Europe/Lisbon,BTE,2021-05-11T14:15:32Z,40.147871,-8.854044,PT*EVP*FIG*00002*03,FIG-00002-03,AVAILABLE,2021-05-11T11:14:41Z,FIG-00002-03-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,63,22000
441,PT,GLP,FIG-90003,True,São Julião da Figueira da Foz,Figueira da Foz,PRT,3080-302,ON_STREET,Europe/Lisbon,BTN,2021-05-11T14:14:31Z,40.148283,-8.867429,PT*GLP*FIG*90003*2,FIG-90003-2,OUTOFORDER,2021-05-11T04:28:08Z,FIG-90003-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
442,PT,MOB,FLG-00001,True,Praça Dr. Machado de Matos,Felgueiras,PRT,4610-117,PARKING_LOT,Europe/Lisbon,BTN,2021-01-15T17:47:14Z,41.363056,-8.198611,PT*MOB*FLG*00001*2,FLG-00001-2,UNKNOWN,2021-01-15T17:33:42Z,FLG-00001-2-1,IEC_62196_T2,SOCKET,AC_1_PHASE,230,32,3700
443,PT,MOB,FLG-00002,True,Felgueiras,-,PRT,4615-515,ON_STREET,Europe/Lisbon,BTN,2021-05-11T14:14:43Z,41.3215315,-8.1454274,PT*MOB*FLG*00002*2,FLG-00002-2,AVAILABLE,2021-05-11T07:57:05Z,FLG-00002-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
444,PT,KLC,FLG-00003,True,Estrada Nacional 15,Felgueiras,PRT,4615-667,PARKING_LOT,Europe/Lisbon,BTE,2021-05-11T14:14:59Z,41.3161183,-8.1414512,PT*KLC*FLG*00003*03,FLG-00003-03,AVAILABLE,2021-05-10T16:30:59Z,FLG-00003-03-01,IEC_62196_T2,CABLE,AC_3_PHASE,400,63,43000
445,PT,PRP,FND-00002,True,A23 km 18.5 (Sentido Este/Oeste),Fundão,PRT,6230-022,ALONG_MOTORWAY,Europe/Lisbon,MT,2021-05-11T14:14:15Z,40.190234,-7.487413,PT*PRP*FND*00002*03,FND-00002-03,AVAILABLE,2021-05-11T13:53:58Z,FND-00002-03-01,IEC_62196_T2,CABLE,AC_3_PHASE,400,63,43000
